# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
22200 293.07222068779253732 2587.0135952506498143 60.546918196911235555 0 0 0 -3729.0015043668454382 -2405.1146167566967051
22250 308.01819681703824472 2699.0289402679231898 53.999928805846607816 0 0 0 -3770.3726206981418727 -2364.0896494281014384
22300 301.3116635005428634 2736.5092858901271029 54.399501894698119031 0 0 0 -3773.7250583731806728 -2347.6932223782450819
22350 290.58506389330983666 2663.394261562212705 58.743132107316469614 0 0 0 -3723.3059277069742166 -2354.7043240508646704
22400 320.63918459687806717 2620.7476841271791272 55.901329746068881832 0 0 0 -3706.7924370209748304 -2337.5960978695648009
22450 320.33953326898392788 2701.9572839742909309 52.511405309953850917 0 0 0 -3756.2791746016764591 -2337.2154805810819198
22500 285.2090038067660771 2565.0346995629188314 55.862311805521287056 0 0 0 -3670.2328884200833272 -2373.3491621256762301
22550 282.95971687721987564 2674.2172932264143128 65.536027161352620851 0 0 0 -3765.2285829674592605 -2399.4500478732679767
22600 298.12872424331283128 2741.9415071545854516 62.606400611724154714 0 0 0 -3812.879991995243472 -2394.8756422955489143
22650 298.0334465048894117 2737.0111896120538404 76.112558372680268803 0 0 0 -3832.551756189500793 -2411.0518780023930958
22700 305.43270949769203071 2727.2754156630112448 73.032270582975002071 0 0 0 -3835.1134871286253656 -2414.4677663607908471
22750 312.1017498058243973 2782.8026635468340828 64.315620187313442102 0 0 0 -3863.5088536008120172 -2411.0773655401621909
22800 311.90130661469646611 2686.9592242974285909 75.112025922620674123 0 0 0 -3802.6593259480796405 -2404.6866712525561525
22850 315.08078320688309759 2683.7285017154263187 70.823991873278515641 0 0 0 -3798.6008644554440252 -2405.9443861713025399
22900 322.2385081561988045 2715.7721044508243722 87.389361861931519115 0 0 0 -3808.0468679805958345 -2369.1124210129337371
22950 293.74529077379332875 2700.7757763138970404 78.83863637589175255 0 0 0 -3762.4037394382394268 -2359.6673825705233867
23000 281.29543597363681329 2672.5474636606109016 77.723724559686132807 0 0 0 -3780.549227155643166 -2404.9884686195168797
23050 351.46321102096374034 2623.275210024871285 69.372515036305316016 0 0 0 -3749.2524581087345723 -2341.0143515345143896
23100 298.18864554168902714 2479.0238378000053672 56.509244265360194959 0 0 0 -3598.9808018433241159 -2346.2608300187539498
23150 320.49038128609242904 2590.5160301370833622 47.445163670502488173 0 0 0 -3666.1999404969569696 -2326.3345475886558233
23200 292.8542683144760872 2689.3749757280675112 68.490899707884778991 0 0 0 -3730.1618113691720282 -2334.2707796190661611
23250 306.92594518350631461 2678.9109205382551409 68.277480762869814157 0 0 0 -3775.9899940064474322 -2379.4854856760516668
23300 305.7065212968511787 2716.1335507190487988 69.582814976664991491 0 0 0 -3807.672433641718726 -2381.2995815561384916
23350 305.54478437190016393 2659.2030783350901402 63.914388368844932131 0 0 0 -3776.3226168175519888 -2393.99380598323296
23400 289.48528159217096345 2657.3137101014208383 73.286299965925451261 0 0 0 -3768.2050768016047186 -2400.4166811935820078
23450 301.57117795993121945 2750.0332585498135813 80.052099062052050726 0 0 0 -3845.5011006838790308 -2405.3678381702134175
23500 297.46687893754995002 2708.2322161936153861 65.092818723357822819 0 0 0 -3799.2284117777689971 -2407.3333376343693999
23550 297.88053451360173085 2786.2333549102295365 70.973242877182400434 0 0 0 -3847.8674571098208617 -2392.4946911446231752
23600 309.72302230038627613 2709.341749154795707 76.790176288527021597 0 0 0 -3785.5856928919774873 -2358.7262409464806296
23650 301.69400589070596652 2544.1462602384062848 79.983130486122277603 0 0 0 -3687.3013160280634111 -2368.3130924720280746
23700 285.99697965997728488 2500.6647667362453831 74.24597763864929334 0 0 0 -3657.5648702796115685 -2391.5191896115766212
23750 297.25852081470833355 2637.5612370051362632 84.529882098926719891 0 0 0 -3749.2271658881431904 -2382.4462343425393556
23800 300.83163135638801577 2877.3729018185181303 73.380470993930316581 0 0 0 -3874.6853190914539482 -2369.1002635172771988
23850 330.52739636809008061 2814.0158421710593757 74.490914473787938732 0 0 0 -3858.7340449446337516 -2364.7815998243199829
23900 283.22546965922452955 2587.3990796386060538 72.297022911927840028 0 0 0 -3681.4561687408222497 -2388.1509880314315524
23950 300.31890869946334988 2627.8398275473541617 70.702803591737719557 0 0 0 -3726.7278842511950643 -2385.3921398236198002
