# step time temp etotal ke pe enthalpy density lx ly lz vol pxx pyy pzz press
1000 0.5 366.22783685083811633 -853.18061410461336891 837.29985798952452569 -1690.4804720941378946 -943.79589355140103635 0.81385453943808583332 21.11196778931326179 21.11196778931326179 21.11196778931326179 9409.9246064857943566 769.12362396103412721 -2288.3119827994160005 -461.70299139594976623 -660.29711674477732686
1100 0.55000000000000004441 355.0880233807487798 -920.2854988513323633 811.83111067435368113 -1732.1166095256860444 -975.51737074530228711 0.81899930976298007668 21.067668013797430149 21.067668013797430149 21.067668013797430149 9350.8135665888858057 -276.22397962190035514 1490.1667005065235116 -2428.9691631134633099 -405.00881407628088482
1200 0.5999999999999999778 347.16037131306137553 -986.72760639155546869 793.70626793289773104 -1780.4338743244531997 -864.3585919091182177 0.82506434216860280451 21.015918325597652938 21.015918325597652938 21.015918325597652938 9282.0759125639488047 263.52199363264321619 353.02298745734429986 2095.3427842800715553 903.96258845668637605
1300 0.6500000000000000222 342.05974357194207869 -1038.9568221787553739 782.04479806752522109 -1821.0016202462807087 -1292.2058176086259209 0.83300945581369922888 20.948889255664983722 20.948889255664983722 20.948889255664983722 9193.5449271435063565 -2411.1289881838360998 -2373.2813900860787726 -882.02700401756646897 -1888.8124607624940836
1400 0.70000000000000006661 339.48782664783539076 -1086.1016836346357195 776.16467247731111456 -1862.2663561119468341 -941.88595847661815696 0.84154122756497362623 20.877853490562394256 20.877853490562394256 20.877853490562394256 9100.3382911116204923 1126.5640762365364935 288.46098792867661587 1844.8461766058730973 1086.6237469236953075
1500 0.75 327.71035789506311176 -1139.8374579531191557 749.23806580817165468 -1889.0755237612906967 -1145.1263621015189074 0.84718634458138053489 20.831377813679885946 20.831377813679885946 20.831377813679885946 9039.6993598177032254 247.15114539661198023 956.35024012641395075 -1323.8544282872730946 -40.117680921415491468
1600 0.80000000000000004441 333.62691732349657059 -1180.4760981500792241 762.76498503914103821 -1943.2410831892202623 -1387.5651599500718021 0.85044045545494162397 20.80477424320435631 20.80477424320435631 20.80477424320435631 9005.1100081566655717 -2312.442402263276108 -2954.134374971410125 536.00645040892607085 -1576.856775608586986
1700 0.8499999999999999778 317.4606192685687347 -1220.6144650332598758 725.80427997094454895 -1946.4187450042045384 -1038.2446662389611447 0.85589480336163825669 20.760485940720002418 20.760485940720002418 20.760485940720002418 8947.7232794025603653 853.38441697215648674 1547.551452665002671 1791.6864288126826068 1397.5407661499466485
1800 0.9000000000000000222 320.03034912493177444 -1254.2222481068492925 731.67940530905627838 -1985.9016534159054572 -1474.0232837713995195 0.86242515122835672337 20.707953137607269412 20.707953137607269412 20.707953137607269412 8879.9704482769739116 -1677.037962956096635 -28.609657994328642872 -3386.0614287574126138 -1697.2363499026130285
1900 0.95000000000000006661 307.02052664864459075 -1289.6055351836359932 701.93529135656922335 -1991.5408265402052166 -1310.3075071556218063 0.87123546664525952643 20.637913878228808073 20.637913878228808073 20.637913878228808073 8790.1722897569288762 -2185.107335311533916 604.91676918493783432 1095.7285924468660596 -161.48732455990941048
2000 1 305.17328941330930547 -1317.8820654471333 697.71198739333397043 -2015.5940528404673842 -1431.8352099823864592 0.88101953134018173852 20.561231958360771443 20.561231958360771443 20.561231958360771443 8692.554006276121072 -755.683843960111858 -1574.4651468440731605 -366.49914025374829407 -898.88271035264506281
