#$(time) $(c_WaterMSD[1]) $(c_WaterMSD[2]) $(c_WaterMSD[3]) $(c_WaterMSD[4])
5100 12.280144453194219878 11.905769663404726089 13.817881482248283831 38.003795598847226245
5150 12.554224213899304985 12.460361317309923024 14.219015061433642799 39.23360059264287969
5200 12.388790772252400885 12.590903080544171289 14.439432865087068691 39.419126717883642641
5250 12.408347404668736758 12.092078444125041514 14.497622159401885256 38.998048008195652869
5300 13.225892304553633849 12.453792806575991747 13.68009020853729929 39.359775319666930216
5350 12.665988985811390322 12.333700175617288153 14.247814231126730178 39.247503392555408652
5400 13.152701424596193291 14.347109932829056334 14.045706257536929584 41.545517614962179209
5450 13.433471479625383793 13.48567736032141795 13.818355927213998413 40.737504767160800156
5500 14.076149756742713848 13.337416010440728442 14.990582307052733313 42.404148074236168497
5550 13.896927869912611087 14.056718197754610955 13.145145735818458022 41.098791803485681839
5600 13.541641957956949582 13.822403744489250244 10.961212123444491695 38.325257825890687968
5650 13.332693087583402658 14.12040120530768661 11.202854911255698767 38.655949204146800469
5700 14.403695447942496344 13.059959304179557193 10.78308045397572279 38.246735206097788762
5750 14.569304310401916425 12.804065087704392667 11.177095338976366534 38.550464737082677402
5800 15.005782029776574049 12.387941421609975023 11.893999693378633609 39.28772314476518801
5850 14.581848459220223546 11.519702954099642511 11.435988311407237816 37.537539724727110979
5900 13.434886798241938877 11.024096968942615149 12.058171662155393378 36.517155429339958062
5950 13.023847376132223985 12.486653719509689608 13.233974148177138019 38.744475243819046284
6000 13.292745127463554411 12.562869490365192959 12.14447002574134693 38.000084643570097853
6050 13.840281135887337882 13.764231262128765465 13.210514661663893321 40.815027059679998445
6100 13.04904044575471822 14.253656631824506817 13.714203272774355469 41.016900350353580507
6150 12.226904754222630345 15.348594935178292431 13.859955954847974269 41.435455644248889939
6200 12.077081370203208266 14.872960092371021901 13.133266574658435388 40.083308037232654897
6250 13.142188848578861382 14.936914017899420415 13.173424230422705605 41.252527096900990955
6300 13.711784520519360697 13.858119243166237666 14.07262766645193075 41.642531430137545101
6350 14.386825199348210802 13.882725361049537582 12.969159372298411981 41.238709932696160365
6400 15.59251969948840788 13.136406812501581598 13.469857651731144799 42.198784163721136053
6450 16.22146213987496921 12.355943903524099881 13.708094778433006056 42.28550082183207337
6500 15.890838726170875006 13.06083145364461906 13.822555256071501262 42.774225435887011315
6550 16.359272555802089499 12.88763992422728677 13.399755532466963714 42.64666801249634176
6600 16.927307344136114153 13.0620794310948245 13.843840341719038989 43.833227116949984747
6650 16.615054475322857286 13.038636745826925889 14.583932295414689051 44.237623516564461568
6700 16.631392812375121792 14.77955382114265781 14.682631264953371897 46.093577898471153276
6750 17.703103436027472384 14.742265322439484621 15.937794527231721631 48.383163285698678635
6800 17.374141608665681247 14.38701652498154715 15.562097728921111539 47.323255862568338159
6850 17.137146529983251497 14.361247635359424279 15.718994339372974522 47.21738850471566451
6900 17.291606942119464918 13.424817065166072538 15.15969699896508871 45.876121006250627943
6950 16.250399062376640558 13.440719691220186505 15.544762167665874486 45.235880921262697996
7000 14.881798638371359189 12.025693182873562037 15.536855362708569928 42.444347183953489377
7050 15.35880608511769374 11.821552188029295749 16.143496946428410155 43.323855219575399644
