#$(time) $(c_NaMSD[1]) $(c_NaMSD[2]) $(c_NaMSD[3]) $(c_NaMSD[4])
47 2.1399221604302609566e-33 3.4238754566884175305e-32 0 3.6378676727314437972e-32
47.5 8.5526305602715933115e-31 3.3536439801084559581e-32 0 8.8879949582824388525e-31
48 7.1041836414582796267e-31 3.2855514586464446324e-32 0 7.4327387873229239804e-31
48.5 2.012194942406416423e-33 3.2195119078502662768e-32 0 3.4207314020909076797e-32
49 1.9721522630525285282e-33 3.1554436208840456452e-32 0 3.3526588471892987717e-32
49.5 1.9332930722993125738e-33 3.0932689156789001181e-32 0 3.2865982229088313071e-32
50 6.9878336241030805646e-31 3.0329138993502945629e-32 0 7.2911250140381104588e-31
50.5 2.6768774236927525582e-33 2.9743082485475023255e-32 0 3.2419959909167776497e-32
51 6.862418876871764166e-31 2.9173850045155746811e-32 0 7.1541573773233219626e-31
51.5 3.5060484676489427228e-33 2.8620803817542373711e-32 0 3.212685228519131575e-32
52 8.8069341358956671726e-31 2.8083335892524446211e-32 0 9.0877674948209117442e-31
52.5 2.4804779970265035647e-33 2.75608666336277999e-32 0 3.0041344630654302438e-32
53 2.4347558803117657227e-33 2.7052843114575160252e-32 0 2.9487598994886924948e-32
53.5 8.6289338643651780209e-31 2.6558737655786951545e-32 0 8.8945212409230470437e-31
54 1.6298779033491986745e-33 2.6078046453587167845e-32 0 2.7707924356936365835e-32
54.5 8.4674015676875932173e-31 2.5610288295463409643e-32 0 8.7235044506422266021e-31
55 1.0062001342104745034e-33 2.5155003355261851125e-32 0 2.6161203489472326483e-32
55.5 9.8847008250733753037e-34 2.4711752062683420127e-32 0 2.5700222145190758684e-32
56 7.2118008732924293026e-31 2.428011404189016547e-32 0 7.4546020137113313679e-31
56.5 1.491230444652196612e-33 2.3859687114435129371e-32 0 2.5350917559087326154e-32
57 7.0936511245349604642e-31 2.3450086362099031977e-32 0 7.3281519881559510303e-31
57.5 2.07458489209996643e-33 2.3050943245555162941e-32 0 2.5125528137655126977e-32
58 2.0395714297584347229e-33 2.2661904775093693294e-32 0 2.4701476204852125964e-32
58.5 2.0054369456928494445e-33 2.228263272992052612e-32 0 2.4288069675613375223e-32
59 1.972152263052530923e-33 2.1912802922805874057e-32 0 2.3884955185858405322e-32
59.5 8.5540302788667342275e-31 2.155210450709682628e-32 0 8.7695513239377030924e-31
60 1.3250149577079623099e-33 1.1410816813387730544e-29 0 1.1412141828345438804e-29
60.5 1.3035575801788164488e-33 1.3668791931935809551e-29 0 1.3670095489515988661e-29
61 1.2826172366366620522e-33 1.1429863937874474148e-29 0 1.1431146555111110411e-29
61.5 7.1494779384542379452e-31 2.9080568410067379931e-32 0 7.4402836225549117993e-31
62 1.7888002385964000675e-33 2.8620803817542373711e-32 0 3.0409604056138776173e-32
62.5 1.7607410619354237127e-33 1.3635178783627907809e-29 0 1.3636939524689843251e-29
63 7.0493850789433800311e-31 1.9259299443872358531e-32 0 7.2419780733821036165e-31
63.5 2.322828216803654093e-33 1.8961862994315529597e-32 0 2.1284691211119185059e-32
64 2.2872298435402138863e-33 1.8671264028899690002e-32 0 2.095849387243990423e-32
64.5 2.252443584629660832e-33 1.8387294568405382203e-32 0 2.0639738153035042009e-32
65 2.218444924003076981e-33 1.3398320755709673323e-29 0 1.3400539200633677353e-29
65.5 2.1852102637701171777e-33 1.1416608725003053046e-32 0 1.360181898877317125e-32
66 2.1527168832607265162e-33 1.1246847390096848299e-32 0 1.3399564273357576184e-32
66.5 2.1209429001826946329e-33 1.1080844539729988825e-32 0 1.3201787439912683458e-32
67 2.0898672337710644204e-33 1.0918490037661063382e-32 0 1.3008357271432128145e-32
67.5 6.9942108390339686379e-31 1.0759677752495019089e-32 0 7.1018076165589185551e-31
68 2.6510763460483514332e-33 1.0604305384193396153e-32 0 1.3255381730241748271e-32
68.5 2.6130685748224632219e-33 1.045227429928984194e-32 0 1.3065342874112305846e-32
69 2.5758723435788165488e-33 1.0303489374315255248e-32 0 1.2879361717894071454e-32
69.5 2.5394647117421057779e-33 1.1742484827095486947e-29 0 1.1745024291807228964e-29
70 2.5038235436493161333e-33 1.5648897147808204793e-32 0 1.8152720691457521611e-32
70.5 8.6798231539306392367e-31 1.5430796718098912629e-32 0 8.8341311211116275145e-31
71 1.8641099708636960431e-33 1.5217224251948526615e-32 0 1.7081334222812221632e-32
71.5 7.0421547348837909566e-31 1.5008055271743380684e-32 0 7.1922352876012247087e-31
72 6.9460172312315485612e-31 1.480316954815183693e-32 0 7.0940489267130672042e-31
72.5 6.8518350363705733375e-31 1.4602450927317535653e-32 0 6.9978595456437489951e-31
73 3.6014467915495442903e-33 1.3313252267513699376e-29 0 1.3316853714305250063e-29
73.5 8.8703768469606499221e-31 1.3135150563831365208e-29 0 1.4022188248527430551e-29
74 8.7524993946388189839e-31 5.0487097934144737439e-33 0 8.802986492572963434e-31
74.5 2.2142492844236998622e-33 4.9820608899533210122e-33 0 7.1963101743770212164e-33
75 2.1852102637701168355e-33 4.9167230934827580904e-33 0 7.1019333572528742417e-33
75.5 2.1567387728713223783e-33 4.8526622389604705616e-33 0 7.0094010118317922557e-33
76 8.6220541087172560003e-31 4.7898452669853979941e-33 0 8.6699525613871101786e-31
76.5 1.6089150616370283347e-33 4.7282401811373862499e-33 0 6.3371552427744142424e-33
77 7.1002667932121310091e-31 4.6678160072249225004e-33 0 7.1469449532843804668e-31
77.5 2.0482412241528987776e-33 4.608542754344019085e-33 0 6.6567839784969182047e-33
78 2.0223961678474922613e-33 4.550391377656855963e-33 0 6.5727875455043485664e-33
78.5 1.9970372190239627193e-33 4.4933337428039136381e-33 0 6.4903709618278760152e-33
79 7.0261005859157380694e-31 4.4373425918681926097e-33 0 7.0704740118344199134e-31
79.5 2.4650952248332235679e-33 4.3823915108146176236e-33 0 6.8474867356478415336e-33
80 2.4347558803117657227e-33 4.3284548983320260508e-33 0 6.7632107786437914314e-33
80.5 2.4049732140051183845e-33 4.2755079360090979817e-33 0 6.6804811500142160241e-33
81 2.3757336898758918661e-33 1.2931499764586675516e-29 0 1.293387549827655198e-29
81.5 6.9613896227492398074e-31 1.854438858921754167e-33 0 6.9799340113384575475e-31
82 2.8627554986972425481e-33 1.8321635191662346013e-33 0 4.6949190178634768072e-33
82.5 6.883616834400137659e-31 1.8102871359369200651e-33 0 6.9017197057595068631e-31
83 8.8556791812012968934e-31 1.7888002385963983569e-33 0 8.8735671835872603159e-31
83.5 2.7620213060502511703e-33 1.7676936358721598321e-33 0 4.5297149419224113446e-33
84 2.7296225094152675561e-33 1.7469584060257698948e-33 0 4.4765809154410371088e-33
84.5 6.9063435496932045689e-31 1.7265858874233010464e-33 0 6.9236094085674379044e-31
85 8.8325542943958889379e-31 1.7065676694883974174e-33 0 8.8496199710907735963e-31
85.5 2.6357743500317817816e-33 1.686895584020339916e-33 0 4.3226699340521216976e-33
86 2.605565151344338787e-33 1.6675616968603764679e-33 0 4.2731268482047152548e-33
86.5 2.5758723435788151803e-33 1.2192737185989701854e-29 0 1.2195313058333280699e-29
87 2.5466842239831228862e-33 3.667225282535694794e-33 0 6.2139095065188183644e-33
87.5 2.517989419454856521e-33 3.6259047640149927061e-33 0 6.1438941834698495692e-33
88 2.4897768754608381367e-33 3.5852787006636057674e-33 0 6.075055576124443562e-33
88.5 6.9488499700252296514e-31 3.5453316173598110187e-33 0 6.9843032861988275563e-31
89 2.9460546151772366647e-33 3.5060484676489413543e-33 0 6.4521030828261783612e-33
89.5 2.913591451168842301e-33 3.4674146195728362251e-33 0 6.381006070741678184e-33
90 6.8826470718775638011e-31 3.4294158420427997715e-33 0 6.9169412302979919562e-31
90.5 3.3920382917323811596e-33 3.3920382917323811596e-33 0 6.7840765834647623191e-33
91 3.3552685004674413935e-33 3.3552685004674413935e-33 0 6.7105370009348827871e-33
91.5 3.3190933630920588017e-33 3.3190933630920588017e-33 0 6.6381867261841176034e-33
92 3.2835001257898510492e-33 3.2835001257898510492e-33 0 6.5670002515797020985e-33
92.5 3.2484763748413076104e-33 1.2087580590784507672e-29 0 1.2090829067159348925e-29
93 3.2140100257985990223e-33 5.7137956014197303027e-33 0 8.9278056272183286407e-33
93.5 6.8407254556496357753e-31 5.6534921121071340696e-33 0 6.8972603767707071092e-31
94 3.6930053457714934835e-33 5.5941382752514941726e-33 0 9.2871436210229883403e-33
94.5 3.6544363636509675308e-33 5.5357142549979162279e-33 0 9.1901506186488837587e-33
95 6.7801293731072429888e-31 5.4782007307014685141e-33 0 6.8349113804142575029e-31
95.5 4.1508963307288326294e-33 5.4215788809519443097e-33 0 9.5724752116807762549e-33
96 6.7158816729159427661e-31 5.3658303681735295057e-33 0 6.7695399765976781228e-31
96.5 4.6678160072249204477e-33 5.3109373237759092166e-33 0 9.9787533310008296643e-33
97 4.6203067387215639617e-33 5.2568823338343118771e-33 0 9.8771890725558765229e-33
97.5 4.5735191237786996577e-33 5.2036484252770984414e-33 0 9.7771675490557980992e-33
98 4.5274386204144370373e-33 5.1512190525604273293e-33 0 9.6786576729748650509e-33
98.5 4.4820510511029425742e-33 5.0995780848104583616e-33 0 9.5816291359134009357e-33
99 4.4373425918681912412e-33 5.0487097934144737439e-33 0 9.4860523852826649851e-33
99.5 4.3932997617565811103e-33 4.998598840043042016e-33 0 9.3918986017996238106e-33
100 4.3499094126734544885e-33 4.9492302650862403806e-33 0 9.2991396777596955534e-33
100.5 4.3071587195692129153e-33 4.9005894764876350537e-33 0 9.2077481960568486533e-33
101 9.0085125095452136e-31 4.8526622389604705616e-33 0 9.0570391319348188735e-31
101.5 3.6791609142966884798e-33 1.2013586658927959781e-29 0 1.201726581984225654e-29
102 3.6435276044706921414e-33 7.4357706213687558136e-33 0 1.1079298225839447271e-32
102.5 3.6084094710102522971e-33 7.364100961245406735e-33 0 1.0972510432255659716e-32
103 3.5737966305315806265e-33 7.2934625112889367029e-33 0 1.0867259141820516645e-32
103.5 3.5396794355284521281e-33 7.2238355827111247533e-33 0 1.0763515018239576197e-32
104 3.5060484676489427228e-33 7.1552009543855934277e-33 0 1.0661249422034535466e-32
104.5 3.472894531194681149e-33 7.0875398595809786134e-33 0 1.0560434390775660447e-32
105 3.4402086468342463578e-33 7.0208339731311115528e-33 0 1.0461042619965357226e-32
105.5 3.4079820455226782589e-33 6.9550653990258695572e-33 0 1.0363047444548547816e-32
106 3.3762061626194069931e-33 6.890216658406949975e-33 0 1.0266422821026356968e-32
106.5 3.3448726321972610182e-33 6.8262706779535896696e-33 0 1.0171143310150850688e-32
107 3.3139732815354585677e-33 6.763210778643790063e-33 0 1.0077184060179248631e-32
107.5 3.2835001257898524177e-33 6.7010206648772482402e-33 0 9.9845207906670999736e-33
108 3.2534453628339031653e-33 6.6396844139467378862e-33 0 9.8931297767806403673e-33
108.5 8.8529533084413862449e-31 6.5791864658452640509e-33 0 8.9187451730998393644e-31
109 2.7544936566601450963e-33 6.5195116133967919612e-33 0 9.2740052700569370575e-33
109.5 2.7296225094152668719e-33 6.4606449926988550602e-33 0 9.1902675021141215899e-33
110 6.9250219550933068345e-31 6.4025720738658551477e-33 0 6.9890476758319651808e-31
110.5 3.109186539510515855e-33 6.3452786520622725633e-33 0 9.4544651915727891026e-33
111 3.0814879110195801018e-33 6.2887508388154668865e-33 0 9.3702387498350469883e-33
111.5 3.0541577762630811061e-33 6.2329750535981208522e-33 0 9.2871328298612016162e-33
112 3.0271896276787236457e-33 1.1960487998338779808e-29 0 1.1963515187966458621e-29
112.5 3.0005771007261637991e-33 8.8180225000932110635e-33 0 1.1818599600819374863e-32
113 6.8847780872907213854e-31 8.7408410550804673422e-33 0 6.9721864978415260589e-31
113.5 6.8247803071970558185e-31 8.6646685114186019241e-33 0 6.9114269923112414272e-31
114 3.8175499383096254343e-33 8.5894873611966536349e-33 0 1.2407037299506279753e-32
