# step time temp etotal ke pe enthalpy density lx ly lz vol pxx pyy pzz press
1000 0.5 388.34260390102218707 -873.23911272825500873 889.01801207142614203 -1762.2571247996811508 -911.16490119933666847 0.81918152959477374964 21.090437986716043639 21.090437986716043639 21.090437986716043639 9381.1654749750814517 -1182.7187932083947999 -646.07970349174468083 997.18182496855331465 -277.20555724386150587
1100 0.55000000000000004441 368.4612590324248913 -949.11910106287609779 843.50440240090006228 -1792.6235034637761601 -1044.727339659756808 0.82442700918370259711 21.045612945365185453 21.045612945365185453 21.045612945365185453 9321.4770956871816452 819.85681441976453243 -748.79233759944190751 -2180.9356852889118272 -703.29040282286314323
1200 0.5999999999999999778 341.18092865543707148 -1014.8787345482942328 781.05257549142515927 -1795.9313100397193921 -954.33452836682374709 0.82989013962411284364 20.999330455026367304 20.999330455026367304 20.999330455026367304 9260.1142202418832312 -11.310480851382937573 537.82512857863139288 818.42132926813758331 448.31199233179592056
1300 0.6500000000000000222 343.58247357409385359 -1066.2337908715396679 786.55034129934210796 -1852.7841321708817759 -1147.8175101752153751 0.83220790567393743142 20.979817386387406231 20.979817386387406231 20.979817386387406231 9234.3240562566061271 1374.2160604287259957 -1726.2661771756804683 -1465.3215571443561203 -605.79055796376928811
1400 0.70000000000000006661 337.39302691412939339 -1114.8712812901933376 772.38107552682799906 -1887.2523568170213366 -1349.7505499939579749 0.83689530131846767702 20.940575170598648924 20.940575170598648924 20.940575170598648924 9182.6032134065080754 -1083.9275969505949888 -2269.1250686104031047 -1908.6249209852690001 -1753.8925288487557737
1500 0.75 337.92845237031434635 -1163.5310128668561447 773.60680474089929248 -1937.1378176077555509 -1278.2458922460941722 0.84722849532540067674 20.855093021277014032 20.855093021277014032 20.855093021277014032 9070.607900434448311 -928.72505172894148018 -193.94305537834199527 -1478.8612089952650877 -867.17643870084953051
1600 0.80000000000000004441 324.83131153749093301 -1203.9938820501706687 743.62401637296682111 -1947.6178984231373761 -1110.4627016126171384 0.85856773381276163537 20.762873677089114466 20.762873677089114466 20.762873677089114466 8950.8109616983419983 521.85097718733356942 509.37024206594196585 1118.2884139381674231 716.50321106381420577
1700 0.8499999999999999778 326.41738001341099107 -1236.9256965764761844 747.25494285207901157 -1984.180639428555196 -1230.0090881978314883 0.86305840482193318941 20.726799865712745685 20.726799865712745685 20.726799865712745685 8904.2380448833246191 818.55849015849832995 604.52763207524264999 -1263.2989945843667101 53.262375883124050802
1800 0.9000000000000000222 307.5373933831374984 -1278.122332214763901 704.03370466349542767 -1982.1560368782593287 -1158.6086495045253741 0.86489268899550997283 20.712136871395841808 20.712136871395841808 20.712136871395841808 8885.3537334175143769 1287.5961660888337974 1740.8611156456706794 -261.5903543886585112 922.2889757819488068
1900 0.95000000000000006661 323.47990487975965834 -1316.9787629258321431 740.53029230486902179 -2057.5090552307010512 -1390.8499625715294314 0.86738002395659785648 20.692319588539405117 20.692319588539405117 20.692319588539405117 8859.873724226215927 -702.7769752206800149 -2539.7470257237814621 1527.4100281559599352 -571.70465759616683954
2000 1 316.36125191683242974 -1344.2286281868484821 724.23382974280389135 -2068.4624579296523734 -1474.0896142654546566 0.87227693354684632254 20.65352509368182865 20.65352509368182865 20.65352509368182865 8810.1349326338076935 -1462.1540573913939625 -19.099469347480130921 -1550.8323790391118564 -1010.6953019259951816
